label,text
neg,"  how cute ! i'm so allregic to cats unfortunately "
neg," i got too much sun and now i feel sick. bleh. "
pos,"  my bday is thursday ! tauruses are the best "
pos," omg i just realized that i could have made my license plate 'careber' owell mcrmy is perfect ! "
neg," this mexican has no beans.. "
neg,"  i kinda don't know if it's a good thing. considering zach braff and sarah chalke are only doing 6 episodes or something "
pos," checking out , then family lake time. "
pos,"  check it out ! "
pos,"  i didn't have a chance to try that one yet - - but i have great things to say about talika's eye therapy patch ! stay tuned "
neg,"  not a bad oc on stock air. she stable under load ? ram good ? i miss my old oc hobby "
pos," oh , happy birthday to my girl ! she turns 17 today xoxo tell her happy birthday "
pos," on ma way to newark for a luncheon ! "
neg," omfg ! ! ! ! i lost my lyrics notebook and folder ! ! ! i'm freaking out here , that is all my work there ! ! ! ! d : someone is gonna kill me ! ! ! "
pos,"  welcome and i think i agree ; )"
neg,"  everything. this thunder is scaring me so much. "
neg,"  gah ! what happened to &quot ; recently played songs&quot ; list ! ? ? that , + radio&amp ; records closing , i can't see what anyone is playing ! ! "
